Progress[10/126614], Elapsed[   0m], G_Loss[0.257], D_Real_Loss[0.888], D_Fake_Loss[0.728]
Progress[20/126614], Elapsed[   0m], G_Loss[0.259], D_Real_Loss[0.715], D_Fake_Loss[0.840]
Progress[30/126614], Elapsed[   0m], G_Loss[0.253], D_Real_Loss[0.895], D_Fake_Loss[0.793]
Progress[40/126614], Elapsed[   0m], G_Loss[0.236], D_Real_Loss[0.612], D_Fake_Loss[0.699]
Progress[50/126614], Elapsed[   0m], G_Loss[0.242], D_Real_Loss[0.649], D_Fake_Loss[0.648]
Progress[60/126614], Elapsed[   0m], G_Loss[0.241], D_Real_Loss[0.727], D_Fake_Loss[0.680]
Progress[70/126614], Elapsed[   0m], G_Loss[0.231], D_Real_Loss[0.619], D_Fake_Loss[0.664]
Progress[80/126614], Elapsed[   0m], G_Loss[0.237], D_Real_Loss[0.737], D_Fake_Loss[0.547]
Progress[90/126614], Elapsed[   0m], G_Loss[0.262], D_Real_Loss[0.601], D_Fake_Loss[0.620]
Progress[100/126614], Elapsed[   0m], G_Loss[0.272], D_Real_Loss[0.636], D_Fake_Loss[0.671]
Progress[110/126614], Elapsed[   0m], G_Loss[0.262], D_Real_Loss[0.622], D_Fake_Loss[0.607]
Progress[120/126614], Elapsed[   0m], G_Loss[0.252], D_Real_Loss[0.573], D_Fake_Loss[0.645]
Progress[130/126614], Elapsed[   0m], G_Loss[0.235], D_Real_Loss[0.503], D_Fake_Loss[0.769]
Progress[140/126614], Elapsed[   0m], G_Loss[0.234], D_Real_Loss[0.568], D_Fake_Loss[0.660]
Progress[150/126614], Elapsed[   0m], G_Loss[0.233], D_Real_Loss[0.588], D_Fake_Loss[0.640]
Progress[160/126614], Elapsed[   0m], G_Loss[0.251], D_Real_Loss[0.546], D_Fake_Loss[0.480]
Progress[170/126614], Elapsed[   1m], G_Loss[0.238], D_Real_Loss[0.473], D_Fake_Loss[0.657]
Progress[180/126614], Elapsed[   1m], G_Loss[0.237], D_Real_Loss[0.719], D_Fake_Loss[0.644]
Progress[190/126614], Elapsed[   1m], G_Loss[0.252], D_Real_Loss[0.565], D_Fake_Loss[0.715]
Progress[200/126614], Elapsed[   1m], G_Loss[0.276], D_Real_Loss[0.581], D_Fake_Loss[0.623]
Progress[210/126614], Elapsed[   1m], G_Loss[0.242], D_Real_Loss[0.443], D_Fake_Loss[0.626]
Progress[220/126614], Elapsed[   1m], G_Loss[0.245], D_Real_Loss[0.524], D_Fake_Loss[0.670]
